timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777455997.897524,319.75,78.7,-1.176,3.44,422.67,-6.59,147.8,92.398,8.0,0.0
1777455997.897735,319.75,78.7,-1.176,3.44,422.67,-6.59,147.8,92.398,8.0,0.0
1777455997.90335,319.75,78.7,-1.176,3.44,422.67,-6.59,147.8,92.398,8.0,0.0
1777455997.9034805,319.75,78.7,-1.176,3.44,422.67,-6.59,147.8,92.398,8.0,0.0
1777456000.2383761,318.25,78.68,-1.224,3.44,422.67,-6.59,147.8,90.668,8.0,0.0
1777456000.238578,318.25,78.68,-1.224,3.44,422.67,-6.59,147.8,90.668,8.0,0.0
1777456000.2462735,318.25,78.68,-1.224,3.44,422.67,-6.59,147.8,90.668,8.0,0.0
1777456000.2464576,318.25,78.68,-1.224,3.44,422.67,-6.59,147.8,90.668,8.0,0.0
1777456001.9973605,309.93,76.39,-1.078,-2.47,440.11,-50.19,172.92,143.675,8.0,0.0
1777456001.9976182,309.93,76.39,-1.078,-2.47,440.11,-50.19,172.92,143.675,8.0,0.0
1777456002.0026128,309.93,76.39,-1.078,-2.47,440.11,-50.19,172.92,143.675,8.0,0.0
1777456002.0028193,309.93,76.39,-1.078,-2.47,440.11,-50.19,172.92,143.675,8.0,0.0
1777456013.7034848,313.06,85.41,-1.091,-2.47,423.28,-50.19,148.15,152.86,8.0,0.0
1777456013.7037063,313.06,85.41,-1.091,-2.47,423.28,-50.19,148.15,152.86,8.0,0.0
1777456013.7111478,313.06,85.41,-1.091,-2.47,423.28,-50.19,148.15,152.86,8.0,0.0
1777456013.7113097,313.06,85.41,-1.091,-2.47,423.28,-50.19,148.15,152.86,8.0,0.0
1777456015.4580142,301.99,64.06,-0.083,-2.47,423.28,-50.19,148.15,121.709,8.0,0.0
1777456015.458533,301.99,64.06,-0.083,-2.47,423.28,-50.19,148.15,121.709,8.0,0.0
1777456015.4644716,301.99,64.06,-0.083,-2.47,423.28,-50.19,148.15,121.709,8.0,0.0
1777456015.4646053,301.99,64.06,-0.083,-2.47,423.28,-50.19,148.15,121.709,8.0,0.0
1777456017.8042853,327.46,37.11,1.354,-2.47,440.11,-50.19,172.92,139.065,8.0,0.0
1777456017.8044882,327.46,37.11,1.354,-2.47,440.11,-50.19,172.92,139.065,8.0,0.0
1777456017.8098276,327.46,37.11,1.354,-2.47,440.11,-50.19,172.92,139.065,8.0,0.0
1777456017.810069,327.46,37.11,1.354,-2.47,440.11,-50.19,172.92,139.065,8.0,0.0
1777456018.3850098,336.8,36.85,1.747,-2.47,440.11,-50.19,172.92,138.21,8.0,0.0
1777456018.385155,336.8,36.85,1.747,-2.47,440.11,-50.19,172.92,138.21,8.0,0.0
1777456018.39053,336.8,36.85,1.747,-2.47,440.11,-50.19,172.92,138.21,8.0,0.0
1777456018.390651,336.8,36.85,1.747,-2.47,440.11,-50.19,172.92,138.21,8.0,0.0
1777456021.896691,357.51,82.63,-3.06,-2.47,440.11,-50.19,172.92,361.182,8.0,0.0
1777456021.8970394,357.51,82.63,-3.06,-2.47,440.11,-50.19,172.92,361.182,8.0,0.0
1777456021.9022233,357.51,82.63,-3.06,-2.47,440.11,-50.19,172.92,361.182,8.0,0.0
1777456021.9023955,357.51,82.63,-3.06,-2.47,440.11,-50.19,172.92,361.182,8.0,0.0
