timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777455715.7492812,248.71,71.52,1.457,3.44,422.67,-6.59,147.8,76.777,10.0,0.0
1777455715.7495096,248.71,71.52,1.457,3.44,422.67,-6.59,147.8,76.777,10.0,0.0
1777455715.7568905,248.71,71.52,1.457,3.44,422.67,-6.59,147.8,76.777,10.0,0.0
1777455715.75709,248.71,71.52,1.457,3.44,422.67,-6.59,147.8,76.777,10.0,0.0
1777455716.914899,259.91,70.5,1.609,3.44,422.67,-6.59,148.9,78.457,10.0,0.0
1777455716.9151251,259.91,70.5,1.609,3.44,422.67,-6.59,148.9,78.457,10.0,0.0
1777455716.9211764,259.91,70.5,1.609,3.44,422.67,-6.59,148.9,78.457,10.0,0.0
1777455716.9213817,259.91,70.5,1.609,3.44,422.67,-6.59,148.9,78.457,10.0,0.0
1777455717.502755,271.8,70.33,1.664,3.44,422.67,-6.59,148.9,78.913,10.0,0.0
1777455717.5028887,271.8,70.33,1.664,3.44,422.67,-6.59,148.9,78.913,10.0,0.0
1777455717.5087876,271.8,70.33,1.664,3.44,422.67,-6.59,148.9,78.913,10.0,0.0
1777455717.5090826,271.8,70.33,1.664,3.44,422.67,-6.59,148.9,78.913,10.0,0.0
1777455718.0878642,283.91,71.3,1.749,3.44,422.67,-6.59,148.9,78.849,10.0,0.0
1777455718.0881705,283.91,71.3,1.749,3.44,422.67,-6.59,148.9,78.849,10.0,0.0
1777455718.094485,283.91,71.3,1.749,3.44,422.67,-6.59,148.9,78.849,10.0,0.0
1777455718.094743,283.91,71.3,1.749,3.44,422.67,-6.59,148.9,78.849,10.0,0.0
1777455718.673918,295.64,73.69,1.855,3.44,422.67,-6.59,148.9,78.353,10.0,0.0
1777455718.674125,295.64,73.69,1.855,3.44,422.67,-6.59,148.9,78.353,10.0,0.0
1777455718.6817849,295.64,73.69,1.855,3.44,422.67,-6.59,148.9,78.353,10.0,0.0
1777455718.6820045,295.64,73.69,1.855,3.44,422.67,-6.59,148.9,78.353,10.0,0.0
1777455719.257405,306.76,77.87,2.013,3.44,422.67,-6.59,148.9,78.589,10.0,0.0
1777455719.2576714,306.76,77.87,2.013,3.44,422.67,-6.59,148.9,78.589,10.0,0.0
1777455719.2651303,306.76,77.87,2.013,3.44,422.67,-6.59,148.9,78.589,10.0,0.0
1777455719.265356,306.76,77.87,2.013,3.44,422.67,-6.59,148.9,78.589,10.0,0.0
1777455719.8383496,316.85,84.05,2.182,3.44,422.67,-6.59,148.9,79.186,10.0,0.0
1777455719.8387494,316.85,84.05,2.182,3.44,422.67,-6.59,148.9,79.186,10.0,0.0
1777455719.8440707,316.85,84.05,2.182,3.44,422.67,-6.59,148.9,79.186,10.0,0.0
1777455719.8442457,316.85,84.05,2.182,3.44,422.67,-6.59,148.9,79.186,10.0,0.0
1777455720.4304745,325.5,91.75,2.351,3.44,422.67,-6.59,148.9,80.406,10.0,0.0
1777455720.4308105,325.5,91.75,2.351,3.44,422.67,-6.59,148.9,80.406,10.0,0.0
1777455720.435876,325.5,91.75,2.351,3.44,422.67,-6.59,148.9,80.406,10.0,0.0
1777455720.436147,325.5,91.75,2.351,3.44,422.67,-6.59,148.9,80.406,10.0,0.0
1777455721.0162444,332.96,100.87,2.464,3.44,422.67,-6.59,148.9,76.613,10.0,0.0
1777455721.0164664,332.96,100.87,2.464,3.44,422.67,-6.59,148.9,76.613,10.0,0.0
1777455721.0241213,332.96,100.87,2.464,3.44,422.67,-6.59,148.9,76.613,10.0,0.0
1777455721.024307,332.96,100.87,2.464,3.44,422.67,-6.59,148.9,76.613,10.0,0.0
1777455721.601948,338.41,111.04,2.605,3.44,422.67,-6.59,148.9,74.06,10.0,0.0
1777455721.602173,338.41,111.04,2.605,3.44,422.67,-6.59,148.9,74.06,10.0,0.0
1777455721.609663,338.41,111.04,2.605,3.44,422.67,-6.59,148.9,74.06,10.0,0.0
1777455721.6100173,338.41,111.04,2.605,3.44,422.67,-6.59,148.9,74.06,10.0,0.0
1777455723.3585632,342.73,138.04,2.91,-2.47,423.28,-50.19,148.15,44.047,10.0,0.0
1777455723.358789,342.73,138.04,2.91,-2.47,423.28,-50.19,148.15,44.047,10.0,0.0
1777455723.3646462,342.73,138.04,2.91,-2.47,423.28,-50.19,148.15,44.047,10.0,0.0
1777455723.3648539,342.73,138.04,2.91,-2.47,423.28,-50.19,148.15,44.047,10.0,0.0
1777455723.9465318,342.67,138.59,2.829,-2.47,423.28,-50.19,148.15,31.087,10.0,0.0
1777455723.946798,342.67,138.59,2.829,-2.47,423.28,-50.19,148.15,31.087,10.0,0.0
1777455723.9525201,342.67,138.59,2.829,-2.47,423.28,-50.19,148.15,31.087,10.0,0.0
1777455723.9526904,342.67,138.59,2.829,-2.47,423.28,-50.19,148.15,31.087,10.0,0.0
1777455724.5238483,343.92,143.09,2.722,-2.47,423.28,-50.19,148.15,12.421,10.0,0.0
1777455724.5242963,343.92,143.09,2.722,-2.47,423.28,-50.19,148.15,12.421,10.0,0.0
1777455724.5298946,343.92,143.09,2.722,-2.47,423.28,-50.19,148.15,12.421,10.0,0.0
1777455724.530061,343.92,143.09,2.722,-2.47,423.28,-50.19,148.15,12.421,10.0,0.0
