timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777469176.4051259,161.03,94.46,1.894,0.0,0.0,0.0,0.0,-94.46,0.0,1.5
1777469176.4054725,161.03,94.46,1.894,0.0,0.0,0.0,0.0,-94.46,0.0,1.5
1777469176.4136472,161.03,94.46,1.894,0.0,0.0,0.0,0.0,-94.46,0.0,1.5
1777469176.413894,161.03,94.46,1.894,0.0,0.0,0.0,0.0,-94.46,0.0,1.5
1777469176.9944005,174.11,98.53,1.998,0.0,0.0,0.0,0.0,-98.53,0.0,1.5
1777469176.99459,174.11,98.53,1.998,0.0,0.0,0.0,0.0,-98.53,0.0,1.5
1777469177.0010936,174.11,98.53,1.998,0.0,0.0,0.0,0.0,-98.53,0.0,1.5
1777469177.0012665,174.11,98.53,1.998,0.0,0.0,0.0,0.0,-98.53,0.0,1.5
1777469186.3571718,236.86,61.22,1.056,0.0,0.0,0.0,0.0,-236.86,0.0,1.5
1777469186.3573496,236.86,61.22,1.056,0.0,0.0,0.0,0.0,-236.86,0.0,1.5
1777469186.3637269,236.86,61.22,1.056,0.0,0.0,0.0,0.0,-236.86,0.0,1.5
1777469186.3638875,236.86,61.22,1.056,0.0,0.0,0.0,0.0,-236.86,0.0,1.5
1777469186.9414608,241.28,57.56,1.007,0.0,0.0,0.0,0.0,-241.28,0.0,1.5
1777469186.9416795,241.28,57.56,1.007,0.0,0.0,0.0,0.0,-241.28,0.0,1.5
1777469186.9485795,241.28,57.56,1.007,0.0,0.0,0.0,0.0,-241.28,0.0,1.5
1777469186.9487772,241.28,57.56,1.007,0.0,0.0,0.0,0.0,-241.28,0.0,1.5
1777469187.5303752,245.68,53.67,0.929,0.0,0.0,0.0,0.0,-245.68,0.0,1.5
1777469187.5308378,245.68,53.67,0.929,0.0,0.0,0.0,0.0,-245.68,0.0,1.5
1777469187.5377555,245.68,53.67,0.929,0.0,0.0,0.0,0.0,-245.68,0.0,1.5
1777469187.538034,245.68,53.67,0.929,0.0,0.0,0.0,0.0,-245.68,0.0,1.5
1777469188.1136107,250.04,50.04,0.948,0.0,0.0,0.0,0.0,-250.04,0.0,1.5
1777469188.113932,250.04,50.04,0.948,0.0,0.0,0.0,0.0,-250.04,0.0,1.5
1777469188.1203213,250.04,50.04,0.948,0.0,0.0,0.0,0.0,-250.04,0.0,1.5
1777469188.120586,250.04,50.04,0.948,0.0,0.0,0.0,0.0,-250.04,0.0,1.5
1777469188.698004,254.39,46.54,0.977,0.0,0.0,0.0,0.0,-254.39,0.0,1.5
1777469188.698471,254.39,46.54,0.977,0.0,0.0,0.0,0.0,-254.39,0.0,1.5
1777469188.7050006,254.39,46.54,0.977,0.0,0.0,0.0,0.0,-254.39,0.0,1.5
1777469188.7053885,254.39,46.54,0.977,0.0,0.0,0.0,0.0,-254.39,0.0,1.5
1777469189.2861454,258.84,42.78,0.956,-1.59,440.11,-41.97,172.92,130.14,25.0,0.0
1777469189.2864459,258.84,42.78,0.956,-1.59,440.11,-41.97,172.92,130.14,25.0,0.0
1777469189.293404,258.84,42.78,0.956,-1.59,440.11,-41.97,172.92,130.14,25.0,0.0
1777469189.2937655,258.84,42.78,0.956,-1.59,440.11,-41.97,172.92,130.14,25.0,0.0
1777469189.8725498,263.51,38.87,0.919,-1.59,440.11,-41.97,172.92,134.05,25.0,0.0
1777469189.8727868,263.51,38.87,0.919,-1.59,440.11,-41.97,172.92,134.05,25.0,0.0
1777469189.8796852,263.51,38.87,0.919,-1.59,440.11,-41.97,172.92,134.05,25.0,0.0
1777469189.8798625,263.51,38.87,0.919,-1.59,440.11,-41.97,172.92,134.05,25.0,0.0
1777469190.4579973,274.39,31.77,1.068,-1.59,440.11,-41.97,172.92,141.15,25.0,0.0
1777469190.4583147,274.39,31.77,1.068,-1.59,440.11,-41.97,172.92,141.15,25.0,0.0
1777469190.464761,274.39,31.77,1.068,-1.59,440.11,-41.97,172.92,141.15,25.0,0.0
1777469190.465081,274.39,31.77,1.068,-1.59,440.11,-41.97,172.92,141.15,25.0,0.0
1777469192.2097251,315.22,-3.4,0.789,-1.59,440.11,-41.97,172.92,124.89,25.0,0.0
1777469192.2100306,315.22,-3.4,0.789,-1.59,440.11,-41.97,172.92,124.89,25.0,0.0
1777469192.216635,315.22,-3.4,0.789,-1.59,440.11,-41.97,172.92,124.89,25.0,0.0
1777469192.2169232,315.22,-3.4,0.789,-1.59,440.11,-41.97,172.92,124.89,25.0,0.0
1777469192.799461,328.73,-16.82,0.803,-1.59,440.11,-41.97,172.92,111.38,25.0,0.0
