timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777380965.2932725,158.42,113.27,-2.715,0.0,0.0,0.0,0.0,174.015,15.0,0.0
1777380965.2948112,158.42,113.27,-2.715,0.0,0.0,0.0,0.0,174.015,15.0,0.0
1777380965.299813,158.42,113.27,-2.715,0.0,0.0,0.0,0.0,174.015,15.0,0.0
1777380965.2999027,158.42,113.27,-2.715,0.0,0.0,0.0,0.0,174.015,15.0,0.0
1777380965.8755348,156.48,114.64,-2.41,0.0,0.0,0.0,0.0,171.602,15.0,0.0
1777380965.8757467,156.48,114.64,-2.41,0.0,0.0,0.0,0.0,171.602,15.0,0.0
1777380965.8830304,156.48,114.64,-2.41,0.0,0.0,0.0,0.0,171.602,15.0,0.0
1777380965.8831525,156.48,114.64,-2.41,0.0,0.0,0.0,0.0,171.602,15.0,0.0
1777380966.4656081,152.89,115.91,-2.052,0.0,0.0,0.0,0.0,130.759,15.0,0.0
1777380966.4658253,152.89,115.91,-2.052,0.0,0.0,0.0,0.0,130.759,15.0,0.0
1777380966.4714556,152.89,115.91,-2.052,0.0,0.0,0.0,0.0,130.759,15.0,0.0
1777380966.4715335,152.89,115.91,-2.052,0.0,0.0,0.0,0.0,130.759,15.0,0.0
1777380969.3873823,141.29,103.23,0.163,11.59,1203.56,16.82,378.85,1076.54,15.0,0.0
1777380969.387619,141.29,103.23,0.163,11.59,1203.56,16.82,378.85,1076.54,15.0,0.0
1777380969.393534,141.29,103.23,0.163,11.59,1203.56,16.82,378.85,1076.54,15.0,0.0
1777380969.3937101,141.29,103.23,0.163,11.59,1203.56,16.82,378.85,1076.54,15.0,0.0
1777380969.9747453,143.47,98.72,0.509,11.59,1203.56,16.82,378.85,574.856,15.0,0.0
1777380969.9748662,143.47,98.72,0.509,11.59,1203.56,16.82,378.85,574.856,15.0,0.0
1777380969.980812,143.47,98.72,0.509,11.59,1203.56,16.82,378.85,574.856,15.0,0.0
1777380969.9810658,143.47,98.72,0.509,11.59,1203.56,16.82,378.85,574.856,15.0,0.0
1777380971.73203,150.47,91.62,1.031,11.59,1203.56,16.82,378.85,334.84,15.0,0.0
1777380971.7321467,150.47,91.62,1.031,11.59,1203.56,16.82,378.85,334.84,15.0,0.0
1777380971.7382088,150.47,91.62,1.031,11.59,1203.56,16.82,378.85,334.84,15.0,0.0
1777380971.7384872,150.47,91.62,1.031,11.59,1203.56,16.82,378.85,334.84,15.0,0.0
1777380972.3142526,154.18,90.41,1.359,9.76,1201.81,15.87,442.18,359.81,15.0,0.0
1777380972.3143752,154.18,90.41,1.359,9.76,1201.81,15.87,442.18,359.81,15.0,0.0
1777380972.3213599,154.18,90.41,1.359,9.76,1201.81,15.87,442.18,359.81,15.0,0.0
1777380972.3215604,154.18,90.41,1.359,9.76,1201.81,15.87,442.18,359.81,15.0,0.0
1777380973.4877183,163.81,91.79,1.981,9.76,1201.81,15.87,442.18,382.088,15.0,0.0
1777380973.487881,163.81,91.79,1.981,9.76,1201.81,15.87,442.18,382.088,15.0,0.0
1777380973.4949555,163.81,91.79,1.981,9.76,1201.81,15.87,442.18,382.088,15.0,0.0
1777380973.4950297,163.81,91.79,1.981,9.76,1201.81,15.87,442.18,382.088,15.0,0.0
