timestamp,x,y,theta,x_estimate,y_estimate,theta_estimate,status,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777904768.806822,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904768.8574808,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904768.90787,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904768.958165,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.0084856,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.0588083,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.1091354,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.1594052,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.2097244,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.259967,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.3103838,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904769.35937,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.3596606,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.3607929,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.376171,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.376361,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.4111412,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.4614437,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.5117126,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.5619924,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.6122336,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.6626012,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.7129068,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
1777904769.7632036,239.07,92.55,-0.819,239.07,92.55,-0.819,VISION,0.0,0.0,0.0,0.0,92.55,55.0,0.0
