timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777469078.6492996,324.17,79.5,-1.364,0.0,0.0,0.0,0.0,-324.17,0.0,1.5
1777469078.6497047,324.17,79.5,-1.364,0.0,0.0,0.0,0.0,-324.17,0.0,1.5
1777469078.656183,324.17,79.5,-1.364,0.0,0.0,0.0,0.0,-324.17,0.0,1.5
1777469078.656584,324.17,79.5,-1.364,0.0,0.0,0.0,0.0,-324.17,0.0,1.5
1777469079.238189,324.16,79.51,-1.355,0.0,0.0,0.0,0.0,-324.16,0.0,1.5
1777469079.2383833,324.16,79.51,-1.355,0.0,0.0,0.0,0.0,-324.16,0.0,1.5
1777469079.2449548,324.16,79.51,-1.355,0.0,0.0,0.0,0.0,-324.16,0.0,1.5
1777469079.2452521,324.16,79.51,-1.355,0.0,0.0,0.0,0.0,-324.16,0.0,1.5
1777469080.9950604,314.87,81.28,-1.633,0.0,0.0,0.0,0.0,81.28,25.0,0.0
1777469080.9952786,314.87,81.28,-1.633,0.0,0.0,0.0,0.0,81.28,25.0,0.0
1777469081.0019665,314.87,81.28,-1.633,0.0,0.0,0.0,0.0,81.28,25.0,0.0
1777469081.0021408,314.87,81.28,-1.633,0.0,0.0,0.0,0.0,81.28,25.0,0.0
1777469082.1617935,297.63,82.95,-1.457,0.0,0.0,0.0,0.0,-297.63,0.0,1.5
1777469082.1621017,297.63,82.95,-1.457,0.0,0.0,0.0,0.0,-297.63,0.0,1.5
1777469082.168332,297.63,82.95,-1.457,0.0,0.0,0.0,0.0,-297.63,0.0,1.5
1777469082.1684775,297.63,82.95,-1.457,0.0,0.0,0.0,0.0,-297.63,0.0,1.5
1777469085.089122,265.44,80.06,-1.576,0.0,0.0,0.0,0.0,80.06,25.0,0.0
1777469085.0896192,265.44,80.06,-1.576,0.0,0.0,0.0,0.0,80.06,25.0,0.0
1777469085.0954807,265.44,80.06,-1.576,0.0,0.0,0.0,0.0,80.06,25.0,0.0
1777469085.0958793,265.44,80.06,-1.576,0.0,0.0,0.0,0.0,80.06,25.0,0.0
