timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777459500.7693112,303.58,125.19,2.097,0.0,0.0,0.0,0.0,-125.19,0.0,1.5
1777459500.7696197,303.58,125.19,2.097,0.0,0.0,0.0,0.0,-125.19,0.0,1.5
1777459500.7742496,303.58,125.19,2.097,0.0,0.0,0.0,0.0,-125.19,0.0,1.5
1777459500.7745242,303.58,125.19,2.097,0.0,0.0,0.0,0.0,-125.19,0.0,1.5
1777459501.3563814,303.54,125.18,2.1,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459501.3566766,303.54,125.18,2.1,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459501.3628373,303.54,125.18,2.1,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459501.363079,303.54,125.18,2.1,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459501.9403484,304.58,125.13,1.975,0.0,0.0,0.0,0.0,-125.13,0.0,1.5
1777459501.940682,304.58,125.13,1.975,0.0,0.0,0.0,0.0,-125.13,0.0,1.5
1777459501.946233,304.58,125.13,1.975,0.0,0.0,0.0,0.0,-125.13,0.0,1.5
1777459501.9465015,304.58,125.13,1.975,0.0,0.0,0.0,0.0,-125.13,0.0,1.5
1777459502.5263376,307.01,125.18,1.778,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459502.5268755,307.01,125.18,1.778,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459502.5321512,307.01,125.18,1.778,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459502.5324082,307.01,125.18,1.778,0.0,0.0,0.0,0.0,-125.18,0.0,1.5
1777459503.1088045,310.27,125.26,1.601,0.0,0.0,0.0,0.0,-125.26,0.0,1.5
1777459503.109062,310.27,125.26,1.601,0.0,0.0,0.0,0.0,-125.26,0.0,1.5
1777459503.114755,310.27,125.26,1.601,0.0,0.0,0.0,0.0,-125.26,0.0,1.5
1777459503.1149373,310.27,125.26,1.601,0.0,0.0,0.0,0.0,-125.26,0.0,1.5
1777459503.6975088,314.58,124.66,1.462,0.0,0.0,0.0,0.0,-314.58,0.0,1.5
1777459503.6977654,314.58,124.66,1.462,0.0,0.0,0.0,0.0,-314.58,0.0,1.5
1777459503.7040231,314.58,124.66,1.462,0.0,0.0,0.0,0.0,-314.58,0.0,1.5
1777459503.7041523,314.58,124.66,1.462,0.0,0.0,0.0,0.0,-314.58,0.0,1.5
1777459504.2819993,318.45,123.95,1.406,0.0,0.0,0.0,0.0,-318.45,0.0,1.5
1777459504.2821753,318.45,123.95,1.406,0.0,0.0,0.0,0.0,-318.45,0.0,1.5
1777459504.288021,318.45,123.95,1.406,0.0,0.0,0.0,0.0,-318.45,0.0,1.5
1777459504.2882705,318.45,123.95,1.406,0.0,0.0,0.0,0.0,-318.45,0.0,1.5
1777459504.8676875,322.77,123.0,1.339,-2.47,440.11,-50.19,172.92,49.92,15.0,0.0
1777459504.867868,322.77,123.0,1.339,-2.47,440.11,-50.19,172.92,49.92,15.0,0.0
1777459504.874418,322.77,123.0,1.339,-2.47,440.11,-50.19,172.92,49.92,15.0,0.0
1777459504.8745675,322.77,123.0,1.339,-2.47,440.11,-50.19,172.92,49.92,15.0,0.0
1777459505.4547064,327.07,122.16,1.342,-2.47,440.11,-50.19,172.92,50.76,15.0,0.0
1777459505.45491,327.07,122.16,1.342,-2.47,440.11,-50.19,172.92,50.76,15.0,0.0
1777459505.4606042,327.07,122.16,1.342,-2.47,440.11,-50.19,172.92,50.76,15.0,0.0
1777459505.4607687,327.07,122.16,1.342,-2.47,440.11,-50.19,172.92,50.76,15.0,0.0
1777459506.0391538,333.68,122.48,1.712,-2.47,440.11,-50.19,172.92,50.44,15.0,0.0
1777459506.0393407,333.68,122.48,1.712,-2.47,440.11,-50.19,172.92,50.44,15.0,0.0
1777459506.0452747,333.68,122.48,1.712,-2.47,440.11,-50.19,172.92,50.44,15.0,0.0
1777459506.0454557,333.68,122.48,1.712,-2.47,440.11,-50.19,172.92,50.44,15.0,0.0
1777459528.2837274,337.34,112.84,-1.397,-2.47,394.38,-50.19,172.92,57.04,15.0,0.0
1777459528.2840028,337.34,112.84,-1.397,-2.47,394.38,-50.19,172.92,57.04,15.0,0.0
1777459528.2891877,337.34,112.84,-1.397,-2.47,394.38,-50.19,172.92,57.04,15.0,0.0
1777459528.2894418,337.34,112.84,-1.397,-2.47,394.38,-50.19,172.92,57.04,15.0,0.0
1777459528.8660817,337.35,112.83,-1.402,-2.47,394.38,-50.19,172.92,57.03,15.0,0.0
1777459528.8664513,337.35,112.83,-1.402,-2.47,394.38,-50.19,172.92,57.03,15.0,0.0
1777459528.8720546,337.35,112.83,-1.402,-2.47,394.38,-50.19,172.92,57.03,15.0,0.0
1777459528.8722894,337.35,112.83,-1.402,-2.47,394.38,-50.19,172.92,57.03,15.0,0.0
1777459530.6264038,323.26,110.47,-1.006,-2.47,394.38,-50.19,172.92,71.12,15.0,0.0
1777459530.6267004,323.26,110.47,-1.006,-2.47,394.38,-50.19,172.92,71.12,15.0,0.0
1777459530.6320412,323.26,110.47,-1.006,-2.47,394.38,-50.19,172.92,71.12,15.0,0.0
1777459530.6322646,323.26,110.47,-1.006,-2.47,394.38,-50.19,172.92,71.12,15.0,0.0
1777459549.9436255,334.2,91.97,1.611,3.44,422.67,-6.59,148.15,56.18,15.0,0.0
1777459549.943815,334.2,91.97,1.611,3.44,422.67,-6.59,148.15,56.18,15.0,0.0
1777459549.9497979,334.2,91.97,1.611,3.44,422.67,-6.59,148.15,56.18,15.0,0.0
1777459549.949954,334.2,91.97,1.611,3.44,422.67,-6.59,148.15,56.18,15.0,0.0
1777459551.1148474,347.11,104.03,2.565,3.44,422.67,-6.59,148.15,44.12,15.0,0.0
1777459551.1150146,347.11,104.03,2.565,3.44,422.67,-6.59,148.15,44.12,15.0,0.0
1777459551.1208525,347.11,104.03,2.565,3.44,422.67,-6.59,148.15,44.12,15.0,0.0
1777459551.121047,347.11,104.03,2.565,3.44,422.67,-6.59,148.15,44.12,15.0,0.0
