timestamp,x,y,theta,x_estimate,y_estimate,theta_estimate,status,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777904654.4232893,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904654.473748,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904654.5240257,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904654.5744245,0.0,0.0,0.0,0.0,0.0,0.0,ESTIMA,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1777904654.6160848,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.616427,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.6247897,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.6333525,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.6336918,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.6751087,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.7253945,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.7758312,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.82617,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.8764362,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.926729,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904654.977033,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904655.0273037,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904655.077556,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904655.1278725,234.87,132.44,-2.4,234.87,132.44,-2.4,VISION,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904655.178316,234.87,132.44,-2.4,234.87,132.44,-2.4,ESTIMA,0.0,0.0,0.0,0.0,132.44,35.0,0.0
1777904655.2000334,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.2287352,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.2790723,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.3293676,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.379694,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.4300215,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.4803371,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.5306916,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.5810285,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.6313074,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.681587,233.91,133.65,-2.34,233.91,133.65,-2.34,VISION,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.732067,233.91,133.65,-2.34,233.91,133.65,-2.34,ESTIMA,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.782527,233.91,133.65,-2.34,233.91,133.65,-2.34,ESTIMA,0.0,0.0,0.0,0.0,133.65,35.0,0.0
1777904655.7939801,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.7943156,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.811188,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.8114939,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.8328578,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.8832314,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.9334993,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904655.9838443,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.0341206,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.084451,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.1347525,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.1850386,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.2353148,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.2856123,231.74,135.6,-2.258,231.74,135.6,-2.258,VISION,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.336048,231.74,135.6,-2.258,231.74,135.6,-2.258,ESTIMA,0.0,0.0,0.0,0.0,135.6,35.0,0.0
1777904656.369458,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.3700688,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.3864703,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.3865113,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.386843,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.4368806,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.4871337,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
1777904656.537448,230.99,135.89,-2.446,230.99,135.89,-2.446,VISION,0.0,0.0,0.0,0.0,135.89,35.0,0.0
