timestamp,x,y,yaw
1715370722.507033,1.489746,0.994887,-0.477042
1715370723.371462,1.490720,0.996448,-0.476461
1715370723.937469,1.489278,0.994131,-0.477270
1715370850.0082092,1.494555,1.002219,-0.482696
1715370850.4759529,1.492474,0.999370,-0.481690
1715370852.2844524,1.485229,0.987192,-0.480312
1715371373.350488,1.218967,1.425678,-0.339508
1715374611.8802595,0.812642,1.042526,-3.040088
1715374611.8817592,0.812642,1.042526,-3.040088
1715374612.0445304,0.799999,1.027039,-3.038506
1715374612.0460052,0.799999,1.027039,-3.038506
1715374612.2126567,0.817496,1.048091,-3.039907
1715374612.2140648,0.817496,1.048091,-3.039907
1715374612.4449039,0.799084,1.025993,-3.037862
1715374612.4463549,0.799084,1.025993,-3.037862
1715374612.612456,0.790319,1.015809,-3.037886
1715374612.61388,0.790319,1.015809,-3.037886
1715374612.7810743,0.812642,1.042526,-3.038948
1715374612.7827559,0.812642,1.042526,-3.038948
1715374612.844423,0.814788,1.045013,-3.039250
1715374612.8529255,0.814788,1.045013,-3.039250
1715374612.9127185,0.809171,1.038423,-3.039765
1715374612.9137566,0.809171,1.038423,-3.039765
1715374613.0126936,0.768456,0.976558,-2.962048
1715374613.0136926,0.768456,0.976558,-2.962048
1715374613.0636628,0.772380,0.971548,-2.896695
1715374613.0652275,0.772380,0.971548,-2.896695
1715374613.4448216,0.848497,0.990595,-2.820354
1715374613.4458282,0.848497,0.990595,-2.820354
1715374613.712769,0.877461,1.009534,-2.751699
1715374613.713765,0.877461,1.009534,-2.751699
1715374613.7630432,0.875630,1.003782,-2.692975
1715374613.7647169,0.875630,1.003782,-2.692975
1715374613.8153217,0.888975,1.011954,-2.636040
1715374613.8169098,0.888975,1.011954,-2.636040
1715374613.8804436,0.848476,0.946569,-2.578088
1715374613.881448,0.848476,0.946569,-2.578088
1715374614.0129907,0.884250,0.953495,-2.515444
1715374614.0140667,0.884250,0.953495,-2.515444
1715374614.2124336,0.933697,0.978138,-2.461422
1715374614.2135766,0.933697,0.978138,-2.461422
1715374614.2816532,0.927849,0.968130,-2.415156
1715374614.2868025,0.927849,0.968130,-2.415156
1715374614.344791,0.933261,0.975049,-2.378353
1715374614.3459415,0.933261,0.975049,-2.378353
1715374614.3956206,0.937200,0.978792,-2.346656
1715374614.3984163,0.937200,0.978792,-2.346656
1715374614.6132643,0.933646,0.972976,-2.336346
1715374614.6144145,0.933646,0.972976,-2.336346
1715374614.6639323,0.952000,0.996254,-2.321993
1715374614.6664042,0.952000,0.996254,-2.321993
1715374614.8137999,0.932214,0.970126,-2.318514
1715374614.8150413,0.932214,0.970126,-2.318514
1715374614.8635619,0.941660,0.982092,-2.316195
1715374614.8655398,0.941660,0.982092,-2.316195
1715374614.9164493,0.930804,0.967867,-2.314587
1715374614.9190114,0.930804,0.967867,-2.314587
1715374614.9632046,0.944659,0.984118,-2.335168
1715374614.9646358,0.944659,0.984118,-2.335168
1715374615.0134187,0.955386,0.996565,-2.361440
1715374615.0148063,0.955386,0.996565,-2.361440
1715374615.0634828,0.949543,0.977300,-2.366206
1715374615.065963,0.949543,0.977300,-2.366206
1715374619.8205016,1.001948,0.595410,-1.398742
1715374619.823422,1.001948,0.595410,-1.398742
1715374619.8677907,1.008097,0.606049,-0.633942
1715374619.8741267,1.008097,0.606049,-0.633942
1715374619.9174087,1.009144,0.609543,-0.023153
1715374619.922958,1.009144,0.609543,-0.023153
1715374620.083619,0.957958,0.541576,0.459656
1715374620.085671,0.957958,0.541576,0.459656
1715374620.213978,0.991726,0.595582,0.846953
1715374620.215965,0.991726,0.595582,0.846953
1715374620.313494,0.980373,0.583939,1.140189
1715374620.3155768,0.980373,0.583939,1.140189
